"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 02:29:14 UTC 2023","Fri Aug 11 02:29:22 UTC 2023","8735","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Aug 11 02:31:25 UTC 2023","Fri Aug 11 02:31:27 UTC 2023","1922","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Aug 11 03:36:29 UTC 2023","Fri Aug 11 03:36:39 UTC 2023","9818","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Aug 11 02:37:40 UTC 2023","Fri Aug 11 02:37:44 UTC 2023","3527","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Aug 11 02:26:32 UTC 2023","Fri Aug 11 02:26:42 UTC 2023","10114","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Aug 11 03:58:18 UTC 2023","Fri Aug 11 03:58:20 UTC 2023","1664","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Aug 11 03:04:46 UTC 2023","Fri Aug 11 03:05:03 UTC 2023","16407","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Aug 11 03:36:41 UTC 2023","Fri Aug 11 03:36:45 UTC 2023","4329","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Aug 11 02:26:28 UTC 2023","Fri Aug 11 02:26:31 UTC 2023","3112","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Aug 11 03:58:20 UTC 2023","Fri Aug 11 03:58:34 UTC 2023","13831","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Aug 11 03:05:59 UTC 2023","Fri Aug 11 03:05:59 UTC 2023","681","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Aug 11 02:24:49 UTC 2023","Fri Aug 11 02:24:56 UTC 2023","6263","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Aug 11 03:24:30 UTC 2023","Fri Aug 11 03:24:43 UTC 2023","13071","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Aug 11 02:29:51 UTC 2023","Fri Aug 11 02:29:58 UTC 2023","6977","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Aug 11 02:17:43 UTC 2023","Fri Aug 11 02:18:09 UTC 2023","26152","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Aug 11 03:44:43 UTC 2023","Fri Aug 11 03:44:47 UTC 2023","3565","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Aug 11 02:36:37 UTC 2023","Fri Aug 11 02:37:40 UTC 2023","63172","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Aug 11 03:44:33 UTC 2023","Fri Aug 11 03:44:43 UTC 2023","9565","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Aug 11 02:37:44 UTC 2023","Fri Aug 11 02:37:48 UTC 2023","4899","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Aug 11 03:47:35 UTC 2023","Fri Aug 11 03:48:14 UTC 2023","39555","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Aug 11 02:29:25 UTC 2023","Fri Aug 11 02:29:51 UTC 2023","25251","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Aug 11 03:57:57 UTC 2023","Fri Aug 11 03:58:14 UTC 2023","17155","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Aug 11 02:34:20 UTC 2023","Fri Aug 11 02:34:28 UTC 2023","7775","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Aug 11 02:43:17 UTC 2023","Fri Aug 11 02:43:43 UTC 2023","25888","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Aug 11 02:24:18 UTC 2023","Fri Aug 11 02:24:26 UTC 2023","7306","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Aug 11 03:11:21 UTC 2023","Fri Aug 11 03:11:40 UTC 2023","19953","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Aug 11 03:05:47 UTC 2023","Fri Aug 11 03:05:58 UTC 2023","11267","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Aug 11 02:26:31 UTC 2023","Fri Aug 11 02:26:32 UTC 2023","399","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Aug 11 02:18:09 UTC 2023","Fri Aug 11 02:18:37 UTC 2023","27948","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Aug 11 02:58:37 UTC 2023","Fri Aug 11 02:58:57 UTC 2023","19575","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Aug 11 03:05:17 UTC 2023","Fri Aug 11 03:05:44 UTC 2023","27386","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Aug 11 03:18:07 UTC 2023","Fri Aug 11 03:18:45 UTC 2023","37486","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Aug 11 02:31:44 UTC 2023","Fri Aug 11 02:31:47 UTC 2023","3052","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Aug 11 02:16:35 UTC 2023","Fri Aug 11 02:16:45 UTC 2023","9635","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Aug 11 02:29:23 UTC 2023","Fri Aug 11 02:29:25 UTC 2023","2915","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Aug 11 03:58:15 UTC 2023","Fri Aug 11 03:58:18 UTC 2023","3495","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Aug 11 02:43:14 UTC 2023","Fri Aug 11 02:43:17 UTC 2023","2608","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Aug 11 02:34:57 UTC 2023","Fri Aug 11 02:35:06 UTC 2023","8271","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Aug 11 02:17:10 UTC 2023","Fri Aug 11 02:17:19 UTC 2023","9131","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Aug 11 03:47:18 UTC 2023","Fri Aug 11 03:47:23 UTC 2023","5127","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Aug 11 03:44:43 UTC 2023","Fri Aug 11 03:44:43 UTC 2023","40","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Aug 11 03:46:03 UTC 2023","Fri Aug 11 03:46:06 UTC 2023","2785","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Aug 11 03:44:12 UTC 2023","Fri Aug 11 03:44:33 UTC 2023","21709","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Aug 11 03:45:20 UTC 2023","Fri Aug 11 03:45:26 UTC 2023","5760","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Aug 11 03:48:14 UTC 2023","Fri Aug 11 03:49:09 UTC 2023","54092","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Aug 11 02:46:26 UTC 2023","Fri Aug 11 02:46:42 UTC 2023","15829","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Aug 11 02:42:26 UTC 2023","Fri Aug 11 02:42:28 UTC 2023","2069","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Aug 11 02:42:49 UTC 2023","Fri Aug 11 02:42:55 UTC 2023","5343","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Aug 11 02:34:01 UTC 2023","Fri Aug 11 02:34:20 UTC 2023","18682","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Aug 11 02:24:29 UTC 2023","Fri Aug 11 02:24:49 UTC 2023","20391","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Aug 11 03:39:17 UTC 2023","Fri Aug 11 03:39:18 UTC 2023","946","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Aug 11 02:47:03 UTC 2023","Fri Aug 11 02:47:16 UTC 2023","12099","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Aug 11 03:59:07 UTC 2023","Fri Aug 11 03:59:09 UTC 2023","2082","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Aug 11 03:25:02 UTC 2023","Fri Aug 11 03:25:18 UTC 2023","16284","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Aug 11 03:39:02 UTC 2023","Fri Aug 11 03:39:02 UTC 2023","524","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Aug 11 02:47:19 UTC 2023","Fri Aug 11 02:47:19 UTC 2023","457","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Aug 11 02:34:28 UTC 2023","Fri Aug 11 02:34:30 UTC 2023","2598","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Aug 11 03:38:38 UTC 2023","Fri Aug 11 03:38:56 UTC 2023","17975","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Aug 11 03:39:02 UTC 2023","Fri Aug 11 03:39:11 UTC 2023","8984","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Aug 11 03:47:32 UTC 2023","Fri Aug 11 03:47:35 UTC 2023","2220","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Aug 11 02:34:30 UTC 2023","Fri Aug 11 02:34:57 UTC 2023","26931","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Aug 11 02:19:56 UTC 2023","Fri Aug 11 02:20:17 UTC 2023","21300","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Aug 11 03:11:42 UTC 2023","Fri Aug 11 03:11:48 UTC 2023","5815","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Aug 11 03:25:27 UTC 2023","Fri Aug 11 03:25:29 UTC 2023","2195","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Aug 11 03:24:43 UTC 2023","Fri Aug 11 03:24:47 UTC 2023","3438","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Aug 11 02:37:49 UTC 2023","Fri Aug 11 02:37:53 UTC 2023","4692","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Aug 11 02:43:45 UTC 2023","Fri Aug 11 02:43:46 UTC 2023","643","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Aug 11 02:31:47 UTC 2023","Fri Aug 11 02:31:48 UTC 2023","527","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Aug 11 03:28:10 UTC 2023","Fri Aug 11 03:32:49 UTC 2023","279446","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Aug 11 03:05:04 UTC 2023","Fri Aug 11 03:05:04 UTC 2023","384","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Aug 11 02:38:55 UTC 2023","Fri Aug 11 02:38:57 UTC 2023","1993","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Aug 11 03:39:11 UTC 2023","Fri Aug 11 03:39:16 UTC 2023","4466","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Aug 11 03:08:59 UTC 2023","Fri Aug 11 03:09:01 UTC 2023","2295","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Aug 11 02:41:57 UTC 2023","Fri Aug 11 02:42:16 UTC 2023","19054","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Aug 11 02:16:45 UTC 2023","Fri Aug 11 02:17:10 UTC 2023","25545","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Aug 11 03:17:37 UTC 2023","Fri Aug 11 03:17:39 UTC 2023","1239","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Aug 11 02:45:53 UTC 2023","Fri Aug 11 02:46:13 UTC 2023","20130","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Aug 11 03:11:41 UTC 2023","Fri Aug 11 03:11:42 UTC 2023","1432","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Aug 11 02:42:16 UTC 2023","Fri Aug 11 02:42:26 UTC 2023","10220","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Aug 11 03:05:04 UTC 2023","Fri Aug 11 03:05:17 UTC 2023","12451","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Aug 11 03:24:52 UTC 2023","Fri Aug 11 03:24:55 UTC 2023","3037","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Aug 11 03:58:34 UTC 2023","Fri Aug 11 03:59:07 UTC 2023","32767","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Aug 11 02:31:27 UTC 2023","Fri Aug 11 02:31:44 UTC 2023","17205","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Aug 11 02:43:43 UTC 2023","Fri Aug 11 02:43:45 UTC 2023","2238","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Aug 11 03:36:09 UTC 2023","Fri Aug 11 03:36:29 UTC 2023","19203","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Aug 11 02:23:56 UTC 2023","Fri Aug 11 02:24:18 UTC 2023","22533","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Aug 11 03:46:06 UTC 2023","Fri Aug 11 03:47:18 UTC 2023","72409","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Aug 11 03:24:47 UTC 2023","Fri Aug 11 03:24:49 UTC 2023","2630","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Aug 11 02:24:26 UTC 2023","Fri Aug 11 02:24:29 UTC 2023","2971","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Aug 11 02:26:42 UTC 2023","Fri Aug 11 02:26:43 UTC 2023","758","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Aug 11 03:45:15 UTC 2023","Fri Aug 11 03:45:20 UTC 2023","4911","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Aug 11 03:41:34 UTC 2023","Fri Aug 11 03:41:47 UTC 2023","13096","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Aug 11 03:24:58 UTC 2023","Fri Aug 11 03:25:02 UTC 2023","3545","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Aug 11 03:11:48 UTC 2023","Fri Aug 11 03:11:49 UTC 2023","1523","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Aug 11 03:38:56 UTC 2023","Fri Aug 11 03:39:02 UTC 2023","5228","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Aug 11 03:36:39 UTC 2023","Fri Aug 11 03:36:41 UTC 2023","2543","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Aug 11 02:16:26 UTC 2023","Fri Aug 11 02:16:35 UTC 2023","9065","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Aug 11 02:15:51 UTC 2023","Fri Aug 11 02:16:26 UTC 2023","34589","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Aug 11 02:46:22 UTC 2023","Fri Aug 11 02:46:26 UTC 2023","3414","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Aug 11 02:19:06 UTC 2023","Fri Aug 11 02:19:10 UTC 2023","3385","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Aug 11 03:09:02 UTC 2023","Fri Aug 11 03:09:22 UTC 2023","19534","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Aug 11 03:41:47 UTC 2023","Fri Aug 11 03:42:17 UTC 2023","29727","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Aug 11 02:37:53 UTC 2023","Fri Aug 11 02:38:55 UTC 2023","62029","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Aug 11 02:46:42 UTC 2023","Fri Aug 11 02:46:48 UTC 2023","6066","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Aug 11 03:17:34 UTC 2023","Fri Aug 11 03:17:37 UTC 2023","2734","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Aug 11 03:44:47 UTC 2023","Fri Aug 11 03:45:15 UTC 2023","28547","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Aug 11 02:42:28 UTC 2023","Fri Aug 11 02:42:49 UTC 2023","20994","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Aug 11 03:17:39 UTC 2023","Fri Aug 11 03:18:05 UTC 2023","26528","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Aug 11 03:27:50 UTC 2023","Fri Aug 11 03:28:10 UTC 2023","19159","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Aug 11 02:16:26 UTC 2023","Fri Aug 11 02:16:26 UTC 2023","60","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"skipped","Fri Aug 11 02:16:35 UTC 2023","Fri Aug 11 02:16:35 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Fri Aug 11 02:47:02 UTC 2023","Fri Aug 11 02:47:03 UTC 2023","1654","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Aug 11 02:46:13 UTC 2023","Fri Aug 11 02:46:22 UTC 2023","9270","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Aug 11 03:39:16 UTC 2023","Fri Aug 11 03:39:17 UTC 2023","987","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Aug 11 02:47:16 UTC 2023","Fri Aug 11 02:47:19 UTC 2023","3004","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"failed","Fri Aug 11 02:54:31 UTC 2023","Fri Aug 11 02:56:18 UTC 2023","107027","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Aug 11 03:21:40 UTC 2023","Fri Aug 11 03:22:30 UTC 2023","49711","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Aug 11 02:36:33 UTC 2023","Fri Aug 11 02:36:37 UTC 2023","3518","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Aug 11 02:20:22 UTC 2023","Fri Aug 11 02:21:16 UTC 2023","53245","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Aug 11 03:18:05 UTC 2023","Fri Aug 11 03:18:07 UTC 2023","1811","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Aug 11 03:25:18 UTC 2023","Fri Aug 11 03:25:27 UTC 2023","9130","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Aug 11 03:08:39 UTC 2023","Fri Aug 11 03:08:59 UTC 2023","19855","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Aug 11 03:09:02 UTC 2023","Fri Aug 11 03:09:02 UTC 2023","416","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Aug 11 03:05:44 UTC 2023","Fri Aug 11 03:05:46 UTC 2023","2129","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Aug 11 03:24:49 UTC 2023","Fri Aug 11 03:24:52 UTC 2023","2749","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Aug 11 02:20:17 UTC 2023","Fri Aug 11 02:20:22 UTC 2023","5170","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Aug 11 02:28:56 UTC 2023","Fri Aug 11 02:29:14 UTC 2023","17253","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Aug 11 03:24:55 UTC 2023","Fri Aug 11 03:24:58 UTC 2023","2503","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Aug 11 03:17:21 UTC 2023","Fri Aug 11 03:17:34 UTC 2023","13632","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Aug 11 02:24:56 UTC 2023","Fri Aug 11 02:25:04 UTC 2023","8757","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Aug 11 02:17:19 UTC 2023","Fri Aug 11 02:17:43 UTC 2023","23628","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Aug 11 03:47:23 UTC 2023","Fri Aug 11 03:47:32 UTC 2023","8892","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Aug 11 03:05:46 UTC 2023","Fri Aug 11 03:05:47 UTC 2023","1055","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
